Time,header.stamp.nsecs,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,header.seq,header.stamp.nsecs,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1719785815,527404987,0.003195793,0.002130529,-0.002130529,0.239418945,-0.004788379,9.787446484,3943.2,1719785814,-2.04222901,-1.932825997,0.136673759,0.013614532,0.002353486,0.725956191,0.687602149
1719785815,529827082,0.002130529,0.002130529,-0.003195793,0.234630566,-0.004788379,9.787446484,3943.4,1719785814,-2.042228694,-1.932826526,0.136679445,0.013615385,0.002353278,0.725954195,0.68760424
1719785815,532367800,0,0.002130529,-0.004261058,0.234630566,0,9.782658105,3943.6,1719785814,-2.042228379,-1.932827055,0.136685132,0.013616237,0.002353071,0.7259522,0.68760633
1719785815,534829190,0.003195793,0.001065264,-0.004261058,0.234630566,0,9.782658105,3943.8,1719785814,-2.042228063,-1.932827584,0.136690818,0.01361709,0.002352863,0.725950204,0.687608421
1719785815,537318484,0.004261058,0.001065264,-0.001065264,0.239418945,-0.004788379,9.787446484,3944,1719785814,-2.042227748,-1.932828113,0.136696504,0.013617943,0.002352655,0.725948208,0.687610512
1719785815,539820162,0,0.001065264,-0.001065264,0.239418945,-0.004788379,9.787446484,3944.2,1719785814,-2.042227852,-1.932826697,0.136694581,0.013620808,0.002346372,0.725947268,0.687611469
1719785815,542354511,0.001065264,0,0,0.244207324,-0.004788379,9.792234863,3944.4,1719785814,-2.042227956,-1.932825281,0.136692659,0.013623674,0.002340089,0.725946328,0.687612425
1719785815,542397199,0.003195793,0,-0.001065264,0.253784082,-0.004788379,9.801811621,3944.6,1719785814,-2.042228061,-1.932823864,0.136690736,0.013626539,0.002333805,0.725945389,0.687613382
1719785815,547359691,0.001065264,0.003195793,0,0.253784082,-0.009576758,9.8066,3944.8,1719785814,-2.042228165,-1.932822448,0.136688814,0.013629405,0.002327522,0.725944449,0.687614338
1719785815,547391370,0.003195793,0,-0.004261058,0.253784082,-0.009576758,9.8066,3945,1719785814,-2.042228269,-1.932821032,0.136686891,0.01363227,0.002321239,0.725943509,0.687615295
1719785815,549838585,0,0.004261058,-0.003195793,0.253784082,-0.014365137,9.8066,3945.2,1719785814,-2.042227485,-1.932818787,0.13668392,0.013639051,0.00232199,0.725945018,0.687613565
1719785815,554841077,0.003195793,0.001065264,-0.002130529,0.258572461,-0.009576758,9.811388379,3945.4,1719785814,-2.042226702,-1.932816541,0.136680949,0.013645833,0.002322741,0.725946527,0.687611835
1719785815,557352355,0.005326322,-0.001065264,-0.001065264,0.258572461,0,9.816176758,3945.6,1719785814,-2.042225918,-1.932814296,0.136677977,0.013652614,0.002323491,0.725948037,0.687610104
1719785815,557391394,0.004261058,0.002130529,-0.002130529,0.253784082,0,9.820965137,3945.8,1719785814,-2.042225135,-1.93281205,0.136675006,0.013659396,0.002324242,0.725949546,0.687608374
1719785815,559837873,0.002130529,0.003195793,-0.003195793,0.248995703,0,9.820965137,3946,1719785814,-2.042224351,-1.932809805,0.136672035,0.013666177,0.002324993,0.725951055,0.687606644
1719785815,564918667,0.003195793,0.002130529,-0.004261058,0.239418945,-0.004788379,9.816176758,3946.2,1719785814,-2.042223388,-1.932807886,0.136671058,0.013668319,0.00232619,0.725954325,0.687603144
1719785815,567336187,0.002130529,0.001065264,-0.004261058,0.234630566,-0.004788379,9.8066,3946.4,1719785814,-2.042222424,-1.932805967,0.136670082,0.013670461,0.002327387,0.725957596,0.687599645
1719785815,569867816,0.001065264,0.001065264,-0.004261058,0.239418945,-0.004788379,9.801811621,3946.6,1719785814,-2.042221461,-1.932804047,0.136669105,0.013672604,0.002328583,0.725960866,0.687596145
1719785815,572326007,0.003195793,-0.002130529,-0.002130529,0.244207324,-0.004788379,9.792234863,3946.8,1719785814,-2.042220497,-1.932802128,0.136668129,0.013674746,0.00232978,0.725964137,0.687592646
1719785815,574820709,0.001065264,0.001065264,-0.002130529,0.248995703,-0.009576758,9.792234863,3947,1719785814,-2.042219534,-1.932800209,0.136667152,0.013676888,0.002330977,0.725967407,0.687589146
1719785815,577318611,0.003195793,0.002130529,0,0.248995703,-0.009576758,9.792234863,3947.2,1719785814,-2.042219666,-1.932798883,0.136667772,0.013673887,0.002328769,0.725964037,0.687592771
1719785815,579843136,0.006391587,0.002130529,-0.003195793,0.248995703,-0.009576758,9.797023242,3947.4,1719785814,-2.042219798,-1.932797556,0.136668393,0.013670886,0.002326561,0.725960667,0.687596396
1719785815,582321679,0.002130529,0.002130529,-0.001065264,0.248995703,-0.009576758,9.797023242,3947.6,1719785814,-2.042219929,-1.93279623,0.136669013,0.013667886,0.002324352,0.725957296,0.687600022
1719785815,584846236,0.002130529,0.004261058,-0.003195793,0.248995703,-0.004788379,9.792234863,3947.8,1719785814,-2.042220061,-1.932794903,0.136669634,0.013664885,0.002322144,0.725953926,0.687603647
1719785815,587332170,0.003195793,0.002130529,-0.004261058,0.253784082,-0.004788379,9.792234863,3948,1719785814,-2.042220193,-1.932793577,0.136670254,0.013661884,0.002319936,0.725950556,0.687607272
1719785815,589945782,0.001065264,0,-0.001065264,0.253784082,-0.004788379,9.797023242,3948.2,1719785814,-2.042221622,-1.932792464,0.136673896,0.013661591,0.002320788,0.725950718,0.687607104
1719785815,592330790,0.003195793,0.001065264,-0.003195793,0.253784082,-0.004788379,9.801811621,3948.4,1719785814,-2.042223051,-1.93279135,0.136677538,0.013661298,0.00232164,0.72595088,0.687606936
