Time,header.stamp.secs,header.stamp.nsecs,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1719786225,1719786224,749585451,0.001065264,-0.002130529,0.004261058,0.229842188,0.009576758,9.816176758,1719786225,2036,1719786224,845005000,world,-2.074281086,-1.915780196,0.136569124,0.013159347,-0.010155445,-0.004694579,0.999850819
1719786225,1719786224,756988775,0.002130529,-0.001065264,-0.002130529,0.229842188,0.004788379,9.830541895,1719786225,2037,1719786224,854796000,world,-2.074285302,-1.915786051,0.136569357,0.013174656,-0.010103776,-0.004692953,0.999851148
1719786225,1719786224,764453251,-0.001065264,-0.001065264,-0.001065264,0.225053809,0.009576758,9.830541895,1719786225,2038,1719786224,863818000,world,-2.074274776,-1.915744763,0.136568247,0.013136215,-0.010085646,-0.004707387,0.999851769
1719786225,1719786224,771971007,-0.001065264,0,0,0.225053809,0.009576758,9.811388379,1719786225,2039,1719786224,876409000,world,-2.07426829,-1.915740353,0.136570563,0.013131665,-0.010090601,-0.004723704,0.999851702
1719786225,1719786224,779443899,0,-0.001065264,0.001065264,0.225053809,0.004788379,9.816176758,1719786225,2040,1719786224,884449000,world,-2.074275438,-1.915763848,0.136553741,0.013145408,-0.010109982,-0.004696411,0.999851454
1719786225,1719786224,787115509,-0.002130529,-0.001065264,-0.002130529,0.225053809,0.014365137,9.816176758,1719786225,2041,1719786224,894860000,world,-2.074277077,-1.91576406,0.136562991,0.013149698,-0.010130507,-0.004713525,0.999851109
1719786225,1719786224,794461138,0,-0.002130529,0,0.234630566,0.014365137,9.835330273,1719786225,2042,1719786224,904900000,world,-2.074276016,-1.915763043,0.136579886,0.013142018,-0.010142007,-0.004712639,0.999851098
1719786225,1719786224,801971245,-0.003195793,0.001065264,-0.002130529,0.234630566,0.014365137,9.825753516,1719786225,2043,1719786224,914355000,world,-2.0742763,-1.915750029,0.136585387,0.013120265,-0.010102624,-0.004703981,0.999851823
1719786225,1719786224,811992413,0.002130529,-0.001065264,0.002130529,0.229842188,0.009576758,9.820965137,1719786225,2044,1719786224,925631000,world,-2.07427862,-1.915736462,0.136580264,0.013164031,-0.010070614,-0.004721104,0.99985149
1719786225,1719786224,817079108,0,-0.002130529,-0.002130529,0.229842188,0.019153516,9.811388379,1719786225,2045,1719786224,934484000,world,-2.074278544,-1.915747588,0.136561652,0.01314899,-0.010067315,-0.004708962,0.999851778
1719786225,1719786224,824457472,-0.002130529,0,-0.003195793,0.225053809,0.023941895,9.811388379,1719786225,2046,1719786224,944028000,world,-2.074282609,-1.915779114,0.136554083,0.013152406,-0.010117972,-0.004683099,0.999851344
1719786225,1719786224,831984732,-0.001065264,-0.001065264,-0.002130529,0.22026543,0.014365137,9.830541895,1719786225,2047,1719786224,954505000,world,-2.074283592,-1.915782605,0.136564507,0.013125785,-0.010135683,-0.004683111,0.999851514
1719786225,1719786224,839429880,-0.002130529,-0.003195793,-0.001065264,0.229842188,0.014365137,9.825753516,1719786225,2048,1719786224,964246000,world,-2.074288297,-1.915758998,0.136572033,0.013150349,-0.010090968,-0.00468796,0.999851621
1719786225,1719786224,846958035,-0.001065264,0,-0.002130529,0.234630566,0.009576758,9.811388379,1719786225,2049,1719786224,975779000,world,-2.074275728,-1.915751198,0.136597203,0.013117301,-0.010063287,-0.004727547,0.999852148
1719786225,1719786224,854438255,0.002130529,0,-0.001065264,0.22026543,0.009576758,9.816176758,1719786225,2050,1719786224,984927000,world,-2.07427522,-1.915766035,0.136593909,0.013127577,-0.010088698,-0.004687734,0.999851944
1719786225,1719786224,861959978,0,-0.001065264,0,0.225053809,0.009576758,9.816176758,1719786225,2051,1719786224,994866000,world,-2.074274609,-1.915781554,0.1365688,0.013109279,-0.010143164,-0.004692502,0.999851611
1719786225,1719786224,869432358,0,-0.002130529,-0.002130529,0.215477051,0.004788379,9.816176758,1719786225,2052,1719786225,4560000,world,-2.074288954,-1.915790543,0.136571533,0.013103159,-0.010141409,-0.004690504,0.999851718
1719786225,1719786224,877005665,0,-0.001065264,0,0.22026543,0.004788379,9.811388379,1719786225,2053,1719786225,14514000,world,-2.074283091,-1.915772784,0.136580641,0.01310581,-0.010144684,-0.004712252,0.999851548
1719786225,1719786224,884444765,-0.001065264,0.001065264,-0.003195793,0.234630566,0.009576758,9.820965137,1719786225,2054,1719786225,25053000,world,-2.074270594,-1.915744235,0.136560717,0.013112318,-0.010076023,-0.004697101,0.999852228
1719786225,1719786224,891949945,0.002130529,0.003195793,0,0.234630566,0.004788379,9.816176758,1719786225,2055,1719786225,35352000,world,-2.07427925,-1.915734129,0.136560937,0.013110846,-0.0100973,-0.004721861,0.999851916
1719786225,1719786224,899426581,-0.001065264,-0.002130529,-0.006391587,0.234630566,0.004788379,9.820965137,1719786225,2056,1719786225,44272000,world,-2.074282996,-1.915764242,0.136571851,0.013138341,-0.010111722,-0.004690018,0.999851559
1719786225,1719786224,906975536,-0.001065264,-0.002130529,0,0.234630566,0.014365137,9.820965137,1719786225,2057,1719786225,54109000,world,-2.074291869,-1.915777857,0.136556322,0.013160824,-0.010122695,-0.00469705,0.99985112
1719786225,1719786224,914440076,-0.001065264,-0.002130529,-0.002130529,0.234630566,0.019153516,9.825753516,1719786225,2058,1719786225,64662000,world,-2.074288974,-1.915799301,0.136572203,0.013142205,-0.010125365,-0.004687026,0.999851385
1719786225,1719786224,921966439,0,-0.001065264,0.002130529,0.22026543,0.014365137,9.835330273,1719786225,2059,1719786225,75173000,world,-2.07429017,-1.915791758,0.136579094,0.01314968,-0.010111963,-0.004723244,0.999851251
1719786225,1719786224,929415043,0.002130529,-0.002130529,-0.002130529,0.22026543,0.009576758,9.825753516,1719786225,2060,1719786225,84548000,world,-2.074290138,-1.915775309,0.136564738,0.013126581,-0.010096176,-0.004719862,0.999851731
1719786225,1719786224,936979839,-0.002130529,-0.001065264,0,0.22026543,0.009576758,9.835330273,1719786225,2061,1719786225,94277000,world,-2.074295673,-1.915763554,0.136548148,0.013118156,-0.010074723,-0.004697361,0.999852163
1719786225,1719786224,944418874,0,-0.001065264,-0.001065264,0.229842188,0.004788379,9.725197559,1719786225,2062,1719786225,104395000,world,-2.074292515,-1.915795888,0.136572828,0.013137514,-0.010080762,-0.004697695,0.999851847
1719786225,1719786224,951978902,0.002130529,-0.002130529,-0.002130529,0.234630566,0.009576758,9.734774316,1719786225,2063,1719786225,115369000,world,-2.074295868,-1.915820059,0.136575449,0.013118913,-0.010138904,-0.004713307,0.99985143
1719786225,1719786224,959396690,-0.001065264,0,-0.001065264,0.229842188,0.009576758,9.787446484,1719786225,2064,1719786225,128875000,world,-2.07429165,-1.915797499,0.136565068,0.013160782,-0.010081355,-0.004703527,0.999851507
1719786225,1719786224,966951277,-0.001065264,-0.001065264,-0.004261058,0.225053809,0.009576758,9.820965137,1719786225,2065,1719786225,137474000,world,-2.074295294,-1.9157833,0.136575324,0.013141782,-0.010092165,-0.004703105,0.99985165
1719786225,1719786224,974452969,-0.001065264,-0.001065264,0,0.210688672,0.004788379,9.825753516,1719786225,2066,1719786225,145227000,world,-2.074290896,-1.915789201,0.136578283,0.013141635,-0.010090501,-0.00473429,0.999851522
1719786225,1719786224,981980644,-0.003195793,0,0,0.210688672,0.004788379,9.825753516,1719786225,2067,1719786225,154475000,world,-2.074286354,-1.915795967,0.136571472,0.013132702,-0.010089793,-0.004713743,0.999851743
