Time,x_true,y_true,z_true,x_pred,y_pred,z_pred
1719786258.0668275,-2.0200819398497782,1.9703277937311123,1.2148460451015006,-2.0199504959990406,-1.970350105583688,1.215805486275056
1719786258.0761669,-2.020102196115162,1.9703220118832876,1.214727464406234,-2.0197412423567136,-1.9704121044319785,1.2177165428372323
1719786258.0769122,-2.020107211006714,1.9703509827796415,1.2146385645080489,-2.019474180368433,-1.9704924875600411,1.2205579788255974
1719786258.097051,-2.0201054757811137,1.9703832849774796,1.214548626679275,-2.0191468053861827,-1.9705891956183579,1.2243163411387175
1719786258.106464,-2.020099529954977,1.9704173850558075,1.2144674119509895,-2.018774866107627,-1.9706997190618807,1.228990158001737
1719786258.116988,-2.020091511672672,1.9704324373126063,1.21440731295726,-2.0183786059411757,-1.9708168765600518,1.2345811933345205
1719786258.1267376,-2.0200961798252823,1.9704296569627957,1.2143333985617903,-2.0179515238708867,-1.9709377670839734,1.2410758860221927
1719786258.1363568,-2.020122838734604,1.9704595336904704,1.2143116165598251,-2.017536474626941,-1.9711143618353877,1.2484818779910927
1719786258.1462264,-2.0201595294145545,1.9705006273093373,1.2142889801805594,-2.0170785714841823,-1.9713353286059274,1.2567715538143451
1719786258.156552,-2.020166185881111,1.970525386101574,1.2142534197480934,-2.0165580776871566,-1.971579652699571,1.2659435687414173
1719786258.166788,-2.020198632111453,1.9705418493584488,1.2142091237964323,-2.0159788184885103,-1.9718479501301784,1.2759950321076683
1719786258.1768348,-2.0202173842871574,1.970529082910072,1.2142156823066124,-2.015348165107051,-1.9721387449008976,1.2869144328356854
1719786258.186263,-2.020220581238395,1.970518016476679,1.2142137133256643,-2.014661578956383,-1.9724681802739887,1.2986892763247597
1719786258.1963472,-2.020244169780088,1.9705254762645183,1.2142235077412369,-2.0139250787717042,-1.9728249126125161,1.3113177896268917
1719786258.206509,-2.020274941008856,1.9705530385849557,1.214233468797165,-2.013104630955134,-1.9732129181838047,1.3247672752605106
1719786258.2164783,-2.020299649767717,1.97059064626306,1.2142489710068112,-2.0122152793673473,-1.973627381314106,1.3390364095264866
1719786258.226724,-2.020337217283364,1.9705735324346083,1.2142321972343906,-2.011258006483721,-1.974071864223557,1.3541148618267844
1719786258.2362192,-2.020366793688256,1.9705524512975128,1.2142364131896448,-2.0102345040880554,-1.9745559702865412,1.370007445785052
1719786258.246632,-2.02040136736417,1.9705506554872965,1.2142576837187993,-2.009162923584318,-1.9750907924802497,1.3867138161689483
1719786258.2563384,-2.0204381371457667,1.970545754169558,1.2142557953042306,-2.0080396510627225,-1.9756700268964578,1.4042224022903735
1719786258.2663815,-2.020462658574118,1.9705832453426704,1.2142505299698143,-2.0068504616639675,-1.9762852858049136,1.4225096686970335
1719786258.27657,-2.020488747704688,1.9705953005245729,1.214268038371228,-2.0056153731202544,-1.9769470727154366,1.4415585748122495
1719786258.2862582,-2.0205149643302454,1.970575476080094,1.2142774780547312,-2.0043416388351893,-1.9776455352469264,1.4613648489951856
1719786258.2963502,-2.0205558740202774,1.970549010011302,1.214266701472008,-2.0030319354276247,-1.9783514938747382,1.4819306591503323
1719786258.3063946,-2.020580443768596,1.97054746477594,1.2142856510125248,-2.0016936388307,-1.9790694317085422,1.5032386785619547
1719786258.3162804,-2.020595884712244,1.9705627637363323,1.2143035934484456,-2.0003401331602038,-1.979814734952332,1.5253004220024495
1719786258.3264809,-2.020600796077796,1.9705742119889893,1.2142975089096366,-1.9989610770446935,-1.9805682015751702,1.5481137959140254
1719786258.3363323,-2.020605415489298,1.9705726154277383,1.2143209315550474,-1.9975529602651234,-1.9813453778916608,1.5716598628796445
1719786258.3461685,-2.02063115399784,1.9705616695934487,1.214334861742323,-1.9960928669891536,-1.9821512478579706,1.595931851490721
1719786258.3565884,-2.020659528555902,1.9705624738886036,1.214332733265089,-1.9945394987834777,-1.9829414460733286,1.6209256707912112
1719786258.366374,-2.020692813228504,1.9705731747626016,1.2143052617844077,-1.992918399048008,-1.9837322767335108,1.6466020571980164
1719786258.377214,-2.020733818812801,1.970574288287538,1.2142792459101914,-1.9912558189980847,-1.9845397520128358,1.6729674082052557
1719786258.3863523,-2.0207564278989465,1.970597653144887,1.214270974603697,-1.9895447424892372,-1.9853659160484294,1.7000170685883949
1719786258.396426,-2.0207604502644005,1.970601438789311,1.214270051617577,-1.9877891974475965,-1.9862173708819728,1.7277504700017812
1719786258.406442,-2.020751238555999,1.9706062243994824,1.214287144940497,-1.986003408241919,-1.9870913388898417,1.7561630540948923
1719786258.4169056,-2.020759949933224,1.970637135793384,1.2142793063598931,-1.9841869356475954,-1.9879865344103531,1.785255496229757
1719786258.426756,-2.020788866889942,1.970665574077792,1.2142666755924325,-1.9823436350544579,-1.9888984277648019,1.815014379184663
1719786258.4363143,-2.020816755627822,1.970682793654208,1.214238312185486,-1.9804683376186636,-1.9898376385008907,1.8454364486301575
1719786258.4466095,-2.020856068907702,1.9707052988533853,1.2142547054208042,-1.9785436813176216,-1.9908115831318818,1.8765129364869089
1719786258.456226,-2.0208776505302155,1.9707275188562123,1.2142564183404476,-1.9765653912296495,-1.9918158118090246,1.9082458768645332
1719786258.466182,-2.020858756102065,1.9707506009856053,1.2142584940797807,-1.9745541292429223,-1.9928465499502297,1.9406256275523164
1719786258.476531,-2.0208521292125603,1.9707760592350096,1.214224216569767,-1.9724951873507046,-1.993899168156337,1.9736373374739857
1719786258.4863188,-2.020850602664199,1.9708075199200927,1.214164526760556,-1.9703978622840501,-1.9949760367101121,2.0072793113480674
1719786258.497014,-2.020851688344643,1.970842450265899,1.2141511628548725,-1.9682781912555782,-1.996079472034086,2.0415275734809715
1719786258.5063794,-2.020879757775674,1.9708440487805847,1.214138845326305,-1.9661355873966366,-1.9972026350694703,2.076383085195644
1719786258.5163944,-2.0209005400177085,1.970849791060732,1.214114011467406,-1.9639675779613022,-1.9983328480763642,2.111845977943169
1719786258.5262892,-2.020894288099102,1.970851623046876,1.2140573751376154,-1.9617759878497305,-1.9994770063660123,2.147906223953259
1719786258.5369306,-2.0208786322052417,1.9708702092517176,1.213955888248158,-1.9595503341598595,-2.0006254821108316,2.1845667649806226
1719786258.5462744,-2.020896593349485,1.970912515622736,1.2138478329998033,-1.9572926113023408,-2.0017803435742305,2.221800365659606
1719786258.556324,-2.020897305627732,1.9709345957500528,1.2137570973011078,-1.9550027088814323,-2.0029558346031013,2.2595924773792464
1719786258.5661952,-2.0209230821728656,1.970908164836078,1.213639535368878,-1.952670783079693,-2.004143151819609,2.2979478493591428
1719786258.5766404,-2.02091759417948,1.9708996739815727,1.213525136633624,-1.95035279383547,-2.005377434797334,2.3368825875190566
1719786258.5865088,-2.020910538878314,1.9709062920878635,1.2134099718190676,-1.9480109039459526,-2.0066444983518457,2.3763793003420353
1719786258.5962143,-2.0208940995022293,1.9709325500856816,1.213292874850139,-1.9456312918489307,-2.0079265777441253,2.416441372460504
1719786258.6066008,-2.020882363132133,1.9709357647541448,1.2132024380601714,-1.9432211051706072,-2.009224711437622,2.4570545957066443
1719786258.616383,-2.020884908817205,1.9709229455271464,1.2130897808054064,-1.9407836686740227,-2.010532574957694,2.4982113263529673
1719786258.626377,-2.020881666640814,1.970919607307506,1.2129355271499904,-1.9383125452041339,-2.011859552835147,2.539906217401829
1719786258.6364176,-2.0208759574806785,1.9709496304009249,1.2128022370043186,-1.9358222551338589,-2.0131949939657225,2.5821354732695236
1719786258.6466606,-2.020860915146475,1.9709981249170336,1.2126969286108114,-1.9333412625296291,-2.014535837543616,2.624904597241806
1719786258.656835,-2.020839148278498,1.971017045023491,1.2125795044632692,-1.9308533624839104,-2.0158917100564455,2.668211844184749
1719786258.666186,-2.020822382433548,1.971022235031173,1.2124995501710678,-1.9283356766584432,-2.017268382658486,2.71206033074906
1719786258.67719,-2.02080601363087,1.9710178553322404,1.212436810915259,-1.9257856992762938,-2.0186741807724475,2.7564358659919757
1719786258.6867285,-2.020753467998661,1.971024848765714,1.2123731093049752,-1.9232127914146042,-2.020097143965596,2.8013415064322253
