Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1719786224.556339,2010,1719786224,585231000,world,-2.0742874785522885,-1.9157458239171217,0.13657575839959307,0.01313614113735826,-0.0100800037305725,-0.004671813223477853,0.9998519937880886
1719786224.5749083,2011,1719786224,594781000,world,-2.074288460273001,-1.9157301489061358,0.1365558981377902,0.013130682764063564,-0.010090281262831456,-0.004700068763992356,0.9998518293966363
1719786224.5749373,2012,1719786224,604701000,world,-2.0742869667776174,-1.9157444947833526,0.13656723495150974,0.01315870359770139,-0.010061769399403049,-0.004688381060729799,0.9998518032184622
1719786224.5863533,2013,1719786224,614382000,world,-2.0742974378460155,-1.9157675407734776,0.1365676542922903,0.013174050989219315,-0.010110589176139632,-0.00469494641399031,0.9998510778337016
1719786224.5965793,2014,1719786224,624734000,world,-2.074300551957141,-1.915789303064787,0.1365690233372791,0.013133222007893932,-0.010160555635365628,-0.004655094093604402,0.9998512947873057
1719786224.6062858,2015,1719786224,634924000,world,-2.074290585313,-1.9157606488747694,0.13657033736518667,0.013141698187224903,-0.010153329210786221,-0.004678526347194853,0.9998511474544158
1719786224.616583,2016,1719786224,644685000,world,-2.0742976223272045,-1.9157504213252874,0.136571934938218,0.013165880896641927,-0.010139188695490915,-0.004685417147934206,0.9998509405401201
1719786224.6262286,2017,1719786224,654441000,world,-2.0743014846624472,-1.915765113976547,0.13657098634935846,0.013193590660892039,-0.010105162276576252,-0.004692661411058324,0.9998508857773335
1719786224.6361911,2018,1719786224,664249000,world,-2.0742991432175755,-1.9157842990611869,0.13657494208160706,0.01318722617770703,-0.010117411279635662,-0.004711681133976963,0.9998507564209913
1719786224.6462626,2019,1719786224,675173000,world,-2.0743056960352675,-1.9158360375459798,0.13659520316962345,0.013140067358165343,-0.010158496159260814,-0.004687118597767791,0.9998510761632732
1719786224.6566668,2020,1719786224,684436000,world,-2.074299449823531,-1.915841478848036,0.13659950227371528,0.013149720953965438,-0.010144704588030719,-0.004692091465395888,0.9998510659519922
1719786224.6664186,2021,1719786224,694373000,world,-2.0743051037468234,-1.9158021888158439,0.13657529306872085,0.013145326225503259,-0.010137655623999405,-0.004709911901240517,0.9998511114494782
1719786224.6762033,2022,1719786224,704376000,world,-2.0742954018950317,-1.9157726775421087,0.13656587183589178,0.013177007307206657,-0.010081115889704785,-0.004692656972679281,0.999851347226867
1719786224.6862924,2023,1719786224,715038000,world,-2.074291157698737,-1.9157842305827943,0.13656024143402773,0.013155897070626978,-0.010079360180118452,-0.004690446209282258,0.9998516532891188
1719786224.6966588,2024,1719786224,725280000,world,-2.0742985107872145,-1.9158079917512998,0.13655007349560452,0.013166631574333483,-0.010101872604313441,-0.004676577695086117,0.9998513497535192
