Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,accel.linear.x,accel.linear.y,accel.linear.z,accel.angular.x,accel.angular.y,accel.angular.z
1719786224.5497603,2009,1719786224,575894000,world,0.16409853822452192,0.11339420106226683,0.26479334042872615,-0.004294029650124725,-0.00581508410701599,-0.0004815061348521579
1719786224.5565608,2010,1719786224,585231000,world,0.0007368685084330195,0.12643288739955238,-0.14048712797948282,0.0023117234331307473,0.01970795099535656,0.004053588948433267
1719786224.575028,2011,1719786224,594781000,world,-0.06913457119228639,-0.014352080111024179,-0.2361239502116086,-0.0008577951639417783,-0.01499462370134347,-0.00931996440876433
1719786224.5750399,2012,1719786224,604701000,world,0.024752160965313408,-0.3002088820269755,0.3119707552240447,0.006650788103603722,0.007620223406357416,0.008157303519607147
1719786224.5868113,2013,1719786224,614382000,world,-0.11964563781940996,-0.0870011290809991,-0.10917472938964945,-0.0025678735801817256,-0.015405494884269963,-0.0038799077954375137
1719786224.5966294,2014,1719786224,624734000,world,0.07356957272719455,0.012836988154685258,0.009497042082196039,-0.01133148605047847,-0.00029648957921952525,0.009165879790172983
1719786224.6067371,2015,1719786224,634924000,world,0.13080755266514643,0.5041648132708687,-0.0005501708122412907,0.010041830513448083,0.011556955457601813,-0.012404346769619861
1719786224.6166515,2016,1719786224,644685000,world,-0.17003658345782213,-0.1842664053564036,0.0028354512376926877,0.0031139525905322417,0.0013241640289498723,0.0033578185373275915
1719786224.6266475,2017,1719786224,654441000,world,0.031746789619369054,-0.24920200741629372,-0.025461618908817485,0.000724281994745511,0.003974517639767067,-1.0923155411724771e-05
1719786224.6369572,2018,1719786224,664249000,world,0.062037801145109484,-0.04492433380187677,0.04904321108140097,-0.006833298281980629,-0.00919077451875837,-0.0025454942751487117
1719786224.6469712,2019,1719786224,675173000,world,-0.0889426256378556,-0.3255340015306807,0.16305355767798346,-0.008274659870368455,-0.005841343164486429,0.008557153526518438
1719786224.6567318,2020,1719786224,684436000,world,0.12799029428300912,0.4629718273663208,-0.15961983924561718,0.011472770761130482,0.01099767268271557,-0.005646288744660902
1719786224.666815,2021,1719786224,694373000,world,-0.11900135028497516,0.4473133424842679,-0.28508309086267003,-0.0027896785449893196,-0.0013012338196043943,-0.0026152706135768454
1719786224.6765783,2022,1719786224,704376000,world,0.15355775083936152,-0.0977875845697973,0.14787972165364316,0.007189669510928429,0.009770510911263151,0.007217724834844944
1719786224.686696,2023,1719786224,715038000,world,-0.05457655496865499,-0.41064314420857784,0.03790830965022529,-0.010577770474460972,-0.010866103337040744,-0.0032583132047867003
1719786224.6968164,2024,1719786224,725280000,world,-0.11597284772513206,-0.12208127819768322,-0.04537536559157118,0.006323297920170104,-0.0049146941182208964,0.0023309104098784427
1719786224.7077696,2025,1719786224,734380000,world,0.12216335640857778,0.17141505823436987,0.239440047501982,-0.008640590491931823,-0.004208373288972541,0.0009083560098460293
1719786224.7077925,2026,1719786224,744165000,world,0.0725593230344046,0.33826125477753877,0.22423856888192928,0.007415848234634865,0.01609402008745323,-0.012917650035868967
1719786224.7276766,2027,1719786224,754362000,world,-0.13403289400581997,0.043601125045977795,-0.4478676519734104,-0.004544871578664985,-0.0036419515948989184,0.009877199260930593
