Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1719786258.0668275,5361,1719786258,94661000,world,-2.0200819398497782,-1.9703277937311123,1.2148460451015006,0.016602059156578832,-0.0038728207384679456,0.7047196136558688,0.7092810719453977
1719786258.0761669,5362,1719786258,104795000,world,-2.020102196115162,-1.9703220118832874,1.214727464406234,0.016586045716769533,-0.003912918757447093,0.7047964471411268,0.7092048788971519
1719786258.0769122,5363,1719786258,113964000,world,-2.020107211006714,-1.9703509827796417,1.2146385645080489,0.016599859586386795,-0.003838652334866178,0.7048651178378718,0.709136711125131
1719786258.097051,5364,1719786258,125872000,world,-2.0201054757811137,-1.9703832849774794,1.214548626679275,0.016714152645382736,-0.003689995200444521,0.7049120551058433,0.7090881578500831
1719786258.106464,5365,1719786258,134080000,world,-2.020099529954977,-1.9704173850558075,1.2144674119509897,0.016991302604354865,-0.003613226559129428,0.7049647711539357,0.709029556267945
1719786258.116988,5366,1719786258,145070000,world,-2.0200915116726716,-1.9704324373126063,1.2144073129572601,0.017129500662811173,-0.0036662140114954935,0.7049959336515724,0.708994973618722
1719786258.1267376,5367,1719786258,154629000,world,-2.0200961798252823,-1.9704296569627953,1.2143333985617903,0.017230746818357942,-0.003677575838916191,0.7049957664071086,0.7089926277106725
1719786258.1363568,5368,1719786258,164323000,world,-2.0201228387346037,-1.9704595336904702,1.2143116165598253,0.01728631470978717,-0.003679396402337185,0.7050462931280245,0.7089410200519509
1719786258.1462264,5369,1719786258,175661000,world,-2.0201595294145545,-1.9705006273093375,1.2142889801805594,0.01734820304381458,-0.003740972143655709,0.7051119034352136,0.7088739299851147
1719786258.156552,5370,1719786258,184320000,world,-2.020166185881111,-1.9705253861015741,1.2142534197480934,0.017436475034415925,-0.0036568976606851087,0.70513103462143,0.7088531727033357
1719786258.166788,5371,1719786258,194649000,world,-2.020198632111453,-1.9705418493584486,1.2142091237964323,0.017565775962888944,-0.003683381381967609,0.7051341632670131,0.708846730972321
1719786258.1768348,5372,1719786258,205029000,world,-2.0202173842871574,-1.9705290829100717,1.2142156823066124,0.017691097977167846,-0.0037706550304505352,0.7050949920240526,0.7088821195626286
1719786258.1862633,5373,1719786258,214528000,world,-2.020220581238395,-1.970518016476679,1.2142137133256643,0.017617364825278793,-0.003845668776345697,0.7051247477970626,0.7088539548682823
1719786258.1963472,5374,1719786258,224233000,world,-2.020244169780088,-1.9705254762645186,1.2142235077412367,0.017621584752653557,-0.003951775331453938,0.7051415976967844,0.7088365047175271
1719786258.206509,5375,1719786258,235665000,world,-2.020274941008856,-1.9705530385849555,1.214233468797165,0.017513741891849257,-0.003974727646610154,0.7051369136719022,0.7088437086991359
1719786258.2164783,5376,1719786258,244719000,world,-2.020299649767717,-1.9705906462630598,1.2142489710068112,0.01738824604888834,-0.003863174491485514,0.7050820148423261,0.7089020222344394
1719786258.2267241,5377,1719786258,254318000,world,-2.0203372172833634,-1.9705735324346083,1.2142321972343906,0.017351789963659908,-0.0038037806325623247,0.7051033835743559,0.7088819824977578
1719786258.2362192,5378,1719786258,264852000,world,-2.0203667936882557,-1.9705524512975128,1.2142364131896448,0.017372073122907422,-0.003906606771613786,0.7051384141195798,0.7088460809173374
1719786258.246632,5379,1719786258,275124000,world,-2.02040136736417,-1.9705506554872965,1.2142576837187993,0.017298312951697724,-0.003945792354203995,0.7051553694311895,0.7088308007233358
1719786258.2563384,5380,1719786258,284870000,world,-2.0204381371457667,-1.9705457541695581,1.2142557953042306,0.01725333667380677,-0.004138850631298646,0.7051917304982239,0.7087946215413831
1719786258.2663817,5381,1719786258,294368000,world,-2.020462658574118,-1.9705832453426704,1.2142505299698145,0.017130561735360116,-0.004125910532674998,0.705173564196681,0.7088157483260772
1719786258.27657,5382,1719786258,304361000,world,-2.020488747704688,-1.9705953005245727,1.214268038371228,0.017039129450180983,-0.004017590303486807,0.7051834556147337,0.7088087336954845
1719786258.2862582,5383,1719786258,314434000,world,-2.0205149643302454,-1.970575476080094,1.2142774780547312,0.01694511848500895,-0.003825235897196505,0.7052178084790335,0.7087778729149841
1719786258.2963502,5384,1719786258,325357000,world,-2.0205558740202774,-1.970549010011302,1.2142667014720079,0.017069753726666182,-0.0036369620958559964,0.7051792962718626,0.7088141901259774
1719786258.3063946,5385,1719786258,334476000,world,-2.020580443768596,-1.9705474647759398,1.2142856510125248,0.017144030068800036,-0.003442169758067539,0.7052056387623585,0.708787161818081
1719786258.3162804,5386,1719786258,344142000,world,-2.0205958847122436,-1.9705627637363325,1.2143035934484456,0.01734114173205544,-0.003204419684396629,0.7052163100614086,0.7087728638437609
1719786258.3264809,5387,1719786258,354214000,world,-2.0206007960777956,-1.9705742119889895,1.2142975089096366,0.017541246436609058,-0.0030399197373854807,0.7051715416417985,0.7088132055908452
1719786258.3363323,5388,1719786258,364853000,world,-2.020605415489298,-1.9705726154277385,1.2143209315550474,0.017649420887386514,-0.002745871889918157,0.7051073838802967,0.7088755429039627
1719786258.3461683,5389,1719786258,375261000,world,-2.0206311539978397,-1.9705616695934487,1.214334861742323,0.017664421693415783,-0.0026462243588900904,0.705084182589702,0.7088986254498534
1719786258.3565884,5390,1719786258,384502000,world,-2.020659528555902,-1.9705624738886034,1.214332733265089,0.01759232468155223,-0.0025406945768265575,0.7050494532857503,0.7089353450102701
